nome,link,tipo,categoria
Hark the Herald.pdf,https://drive.google.com/file/d/1CYiji6SYt7AeZuNrcVRexfFWv4Jpj33I/view?usp=drive_link,testo,natale
Medley Sister Act.pdf,https://drive.google.com/file/d/1bFxRXk2iTOTF03tspZtGFbTiF-Inh-Y2/view?usp=drive_link,testo,natale
Noel Noel.pdf,https://drive.google.com/file/d/1FM4AFLbenm8MPz2dJeQJWu6319pLQL8J/view?usp=drive_link,testo,natale
Oh happy day.pdf,https://drive.google.com/file/d/1kPtv33sd12TWkEYC_PuA5Ecuc6BGtm4E/view?usp=drive_link,testo,natale
Smile - Its Christmas Day.pdf,https://drive.google.com/file/d/1jOXrX5a-jcJ8_DSVSSc_hungLoGO1TZ0/view?usp=drive_link,testo,natale
Bianco Natale.pdf,https://drive.google.com/file/d/1P4wqlZnGdHYsR12RAlbljMlAtcrq0VxZ/view?usp=drive_link,testo,natale
Jingle Bells Rock.pdf,https://drive.google.com/file/d/137YMk5o-u1Gi5lkukE8izu6wjZbUf0jL/view?usp=drive_link,testo,natale
Santa Claus is coming to town.pdf,https://drive.google.com/file/d/1nEFB3wkVQwUQtod51NUmUKwj6kpAPp7s/view?usp=drive_link,testo,natale
Somewhere in my memories.pdf,https://drive.google.com/file/d/1p0gzfPMrClIw-Zapp_ioM3yMDNovjkjE/view?usp=drive_link,testo,natale
Domenica delle Palme e Giovedi Santo sera.pdf,https://drive.google.com/file/d/1H8nNbPpLCAWXtOP4DdXt6GXfOzEIbraY/view?usp=sharing,testo,pasqua
Giovedi Santo pomeriggio.pdf,https://drive.google.com/file/d/1N8ObLFqbl3RkMvK_ZB4zP_pvuHnLo_68/view?usp=drive_link,testo,pasqua
Preconio.pdf,https://drive.google.com/file/d/1vfANjMGXGK8UJVSkfFOgiAg0TSfZeZRz/view?usp=drive_link,testo,pasqua
Sei tu Signore il Pane.pdf,https://drive.google.com/file/d/1dqb7DDfs_FAfpQmQUQZKCW2OIdgVqL6t/view?usp=drive_link,testo,pasqua
Serata Penitenziale.pdf,https://drive.google.com/file/d/1HbFkKsHK6vWE2KWQsKQxIq_C4mD3wjG-/view?usp=drive_link,testo,pasqua
Venerdi e Sabato Santo.pdf,https://drive.google.com/file/d/1XkWF1u8esT3r4DRnOPQGnK7r_CiKufTz/view?usp=drive_link,testo,pasqua
Gloria a Dio (Mariano).pdf,https://drive.google.com/file/d/0B125_qILHPJeVE44QWNrZHE1cnBIYXIzTHpVMmZtQzczeXNZ/view?usp=drivesdk&resourcekey=0-MGLiuEX5nHc-iEAjNpH87Q,testo,altro
Gloria - Pane di vita nuova.pdf,https://drive.google.com/file/d/0B125_qILHPJeZUNwNVFfS3pHYXdmQk52SEozcDdtQ0E2QVlN/view?usp=drivesdk&resourcekey=0--RrPDscOkEDiCFg7MX8S1A,testo,altro
Alleluia (Lode cosmica).pdf,https://drive.google.com/file/d/0B125_qILHPJeR1FvTThIRm1FUzhpX2lwem1wY0xmMDNaU04w/view?usp=drivesdk&resourcekey=0-GPl9IRrEFksE6vMzexY9Sw,testo,altro
VOI SIETE DI DIO.pdf,https://drive.google.com/file/d/0B125_qILHPJeQ29KSXVRZXpkWkVYTGJNQVBsUFBOb2VyaGNr/view?usp=drivesdk&resourcekey=0-3VsCGKl28AaxQsUPUEDdgQ,testo,altro
Solo tu o Signore.pdf,https://drive.google.com/file/d/0B125_qILHPJea1NLTjVMZktCZnRRZFFOVFRkdk5oWDNJQXI4/view?usp=drivesdk&resourcekey=0--q7cdtbl86EfZDGUk6Nbsw,testo,altro
